,start,mid,end,grade,user_grade,is_benchmark,repeats,url
367641,"[[5, 4]]","[[4, 7], [7, 9], [5, 11], [8, 13], [4, 13], [6, 15], [7, 15]]","[[7, 17]]",1,,False,4,https://moonboard.com/Problems/View/367641/saffron-var
367640,"[[5, 4]]","[[4, 7], [4, 13], [8, 13], [7, 9], [5, 11], [7, 15]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367640/saffron
367639,"[[10, 4]]","[[9, 7], [7, 10], [9, 9], [6, 12], [8, 15]]","[[6, 17]]",1,,False,8,https://moonboard.com/Problems/View/367639/basic-bleach
367633,"[[9, 4]]","[[7, 8], [4, 9], [5, 10], [2, 13]]","[[6, 17]]",4,,False,1,https://moonboard.com/Problems/View/367633/friday-2
367632,"[[5, 4], [6, 1]]","[[8, 9], [3, 10], [8, 13]]","[[4, 17]]",2,,False,1,https://moonboard.com/Problems/View/367632/friday-1
367629,"[[0, 4], [3, 2]]","[[3, 6], [2, 8], [5, 10], [5, 12], [7, 14], [4, 15]]","[[3, 17]]",2,,False,2,https://moonboard.com/Problems/View/367629/arboretum
367624,"[[5, 4]]","[[7, 10], [2, 12], [3, 16]]","[[0, 17]]",3,,False,3,https://moonboard.com/Problems/View/367624/antuzzimont
367621,"[[8, 4]]","[[6, 6], [5, 8], [7, 8], [6, 10], [2, 11], [3, 12], [0, 15]]","[[2, 17]]",2,,False,1,https://moonboard.com/Problems/View/367621/annibale
367619,"[[1, 3], [3, 5]]","[[4, 7], [4, 9], [7, 9], [6, 12], [6, 16], [8, 13]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367619/urici%C3%B9
367616,"[[9, 1], [5, 4]]","[[6, 7], [4, 9], [7, 10], [4, 14]]","[[6, 17]]",0,,False,6,https://moonboard.com/Problems/View/367616/stairway-to-warmth
367610,"[[5, 4]]","[[4, 8], [2, 9], [8, 11], [4, 14]]","[[6, 17]]",2,,False,1,https://moonboard.com/Problems/View/367610/pocket-sized-sun
367607,"[[8, 4]]","[[7, 8], [4, 9], [7, 13], [2, 14]]","[[4, 17]]",2,,False,2,https://moonboard.com/Problems/View/367607/sylvia-plath
367606,"[[6, 1], [5, 4]]","[[4, 7], [1, 10], [3, 14]]","[[4, 17]]",1,,False,1,https://moonboard.com/Problems/View/367606/naked-lunch
367602,"[[1, 3], [4, 5]]","[[3, 9], [3, 2], [0, 9], [0, 12], [3, 14], [3, 15]]","[[7, 17]]",2,,False,2,https://moonboard.com/Problems/View/367602/blackandyellow
367601,"[[8, 4], [6, 5]]","[[7, 7], [4, 7], [6, 9], [3, 11], [4, 12], [4, 14], [6, 16]]","[[6, 17], [10, 17]]",0,,False,4,https://moonboard.com/Problems/View/367601/little-do-you-know
367559,"[[9, 4], [10, 4]]","[[9, 7], [7, 9], [8, 12], [5, 13], [9, 15]]","[[8, 17], [6, 17]]",0,,False,8,https://moonboard.com/Problems/View/367559/lick-don-t
367556,"[[8, 4]]","[[9, 7], [5, 8], [5, 14], [4, 15], [1, 12], [4, 11]]","[[8, 17]]",1,,False,1,https://moonboard.com/Problems/View/367556/mew
367530,"[[1, 2], [1, 5]]","[[1, 7], [5, 9], [4, 9], [6, 12], [8, 15]]","[[6, 17]]",0,,False,6,https://moonboard.com/Problems/View/367530/omega-centauri
367529,"[[10, 4], [8, 4]]","[[9, 6], [7, 7], [8, 9], [4, 12], [4, 11], [6, 16]]","[[4, 17]]",0,,False,1,https://moonboard.com/Problems/View/367529/proxima-centauri
367523,"[[0, 4], [5, 4]]","[[4, 7], [0, 8], [1, 10], [2, 12], [1, 15]]","[[3, 17]]",1,,False,2,https://moonboard.com/Problems/View/367523/anna-s-arete
367509,"[[5, 4]]","[[6, 8], [2, 9], [2, 12], [4, 15]]","[[3, 17]]",1,,False,3,https://moonboard.com/Problems/View/367509/sisu-forgot-the-finish
367502,"[[0, 4]]","[[1, 8], [1, 12], [5, 13]]","[[6, 17]]",4,,False,1,https://moonboard.com/Problems/View/367502/white-understanding
367497,"[[5, 4]]","[[5, 9], [4, 12], [4, 14]]","[[6, 17]]",2,,False,2,https://moonboard.com/Problems/View/367497/cakewalk-direct
367496,"[[6, 1], [7, 4]]","[[6, 7], [3, 11], [2, 13], [3, 16]]","[[0, 17]]",0,,False,1,https://moonboard.com/Problems/View/367496/crockpot
367495,"[[5, 4], [9, 1]]","[[4, 9], [4, 7], [7, 10], [5, 13], [8, 15]]","[[6, 17]]",0,,False,14,https://moonboard.com/Problems/View/367495/special-protection-area
367488,"[[1, 3], [3, 2]]","[[3, 5], [1, 6], [2, 6], [2, 8], [3, 9], [1, 10], [2, 11], [3, 12], [2, 13], [3, 14], [1, 15]]","[[2, 17]]",0,,False,1,https://moonboard.com/Problems/View/367488/thea-s-yellow-friend
367485,"[[6, 1], [1, 3]]","[[5, 11], [7, 13], [6, 7]]","[[3, 17]]",4,,False,1,https://moonboard.com/Problems/View/367485/dull-monty
367484,"[[5, 4], [9, 1]]","[[5, 13], [7, 9], [10, 13]]","[[8, 17]]",1,,False,5,https://moonboard.com/Problems/View/367484/wheel-snipe-celly
367482,"[[8, 3]]","[[6, 7], [9, 9], [6, 12]]","[[4, 17]]",2,,False,2,https://moonboard.com/Problems/View/367482/friendship-express
367481,"[[5, 4], [10, 5]]","[[7, 9], [6, 8], [8, 13], [8, 15]]","[[7, 17]]",1,,False,2,https://moonboard.com/Problems/View/367481/don-t-wake-wiggler
367480,"[[5, 4]]","[[4, 7], [1, 9], [4, 11], [2, 14]]","[[6, 17]]",1,,False,7,https://moonboard.com/Problems/View/367480/lurp
367479,"[[1, 2], [10, 5]]","[[6, 6], [5, 7], [7, 10], [9, 13], [6, 14]]","[[7, 17]]",2,,False,1,https://moonboard.com/Problems/View/367479/toaster
367478,"[[5, 4]]","[[1, 8], [4, 6], [3, 11], [1, 14]]","[[4, 17]]",0,,False,1,https://moonboard.com/Problems/View/367478/juicebox
367477,"[[6, 5], [7, 4]]","[[4, 12], [4, 14], [0, 9], [7, 9]]","[[1, 17]]",0,,False,4,https://moonboard.com/Problems/View/367477/order-up
367476,"[[3, 2], [0, 4]]","[[4, 7], [4, 9], [2, 12], [5, 10], [4, 15]]","[[1, 17]]",0,,False,5,https://moonboard.com/Problems/View/367476/drip
367475,"[[1, 5], [2, 4]]","[[3, 9], [4, 7], [4, 12], [6, 1], [6, 16], [6, 10], [6, 15]]","[[4, 17]]",0,,False,2,https://moonboard.com/Problems/View/367475/sento
367473,"[[6, 3], [8, 4]]","[[7, 7], [4, 9], [5, 10], [2, 12], [3, 14], [0, 15]]","[[2, 17]]",0,,False,7,https://moonboard.com/Problems/View/367473/ode-to-trolls
367472,"[[10, 4]]","[[9, 6], [10, 8], [8, 9], [8, 10], [5, 13], [9, 15]]","[[8, 17]]",0,,False,4,https://moonboard.com/Problems/View/367472/mjs-001
367471,"[[1, 3]]","[[3, 7], [7, 13], [7, 14], [2, 11]]","[[10, 17]]",4,,False,1,https://moonboard.com/Problems/View/367471/minchia-boh
367467,"[[5, 4]]","[[6, 8], [3, 11], [3, 14], [1, 14]]","[[2, 17]]",1,,False,3,https://moonboard.com/Problems/View/367467/in-repair
367464,"[[7, 4]]","[[4, 7], [4, 8], [2, 12]]","[[3, 17]]",2,,False,2,https://moonboard.com/Problems/View/367464/twitch-quarantine
367463,"[[5, 4]]","[[2, 6], [2, 8], [3, 9], [2, 11], [4, 12], [2, 14], [3, 15]]","[[2, 17]]",0,,False,3,https://moonboard.com/Problems/View/367463/the-last-warmup
367451,"[[5, 4]]","[[6, 7], [3, 11], [4, 14]]","[[6, 17]]",2,,False,4,https://moonboard.com/Problems/View/367451/kb-tc-white
367450,"[[5, 4]]","[[4, 9], [4, 12], [4, 14]]","[[1, 17]]",1,,False,1,https://moonboard.com/Problems/View/367450/kb-white
367441,"[[8, 4], [6, 1]]","[[6, 7], [6, 9], [2, 12], [3, 15], [3, 9]]","[[0, 17]]",1,,False,2,https://moonboard.com/Problems/View/367441/y-all-gotta-move
367440,"[[10, 4]]","[[9, 7], [7, 10], [7, 12], [5, 13]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367440/fun-with-one
367436,"[[10, 4]]","[[9, 7], [9, 9], [6, 10], [7, 12], [4, 14]]","[[3, 17]]",1,,False,2,https://moonboard.com/Problems/View/367436/io
367434,"[[5, 4]]","[[5, 8], [8, 9], [7, 13], [5, 12]]","[[4, 17]]",1,,False,1,https://moonboard.com/Problems/View/367434/noproblemo
367429,"[[10, 4]]","[[9, 7], [8, 11], [5, 14], [8, 9], [4, 12]]","[[4, 17]]",0,,False,1,https://moonboard.com/Problems/View/367429/germanet89
367428,"[[5, 4]]","[[6, 8], [4, 7], [5, 13], [4, 12]]","[[4, 17]]",0,,False,2,https://moonboard.com/Problems/View/367428/anforart
367426,"[[0, 4]]","[[1, 7], [4, 9], [4, 11], [6, 12], [4, 14]]","[[3, 17]]",1,,False,3,https://moonboard.com/Problems/View/367426/kieran-4
367425,"[[5, 4]]","[[4, 7], [0, 8], [4, 11], [2, 14]]","[[6, 17]]",1,,False,3,https://moonboard.com/Problems/View/367425/kieran-3
367424,"[[8, 4]]","[[9, 7], [7, 10], [4, 12], [8, 13]]","[[8, 17]]",1,,False,1,https://moonboard.com/Problems/View/367424/kieran-2
367422,"[[7, 4], [8, 3]]","[[4, 9], [5, 11], [2, 14], [1, 6], [9, 7]]","[[6, 17]]",3,,False,2,https://moonboard.com/Problems/View/367422/no-60
367409,"[[7, 4], [6, 1]]","[[7, 8], [3, 9], [7, 13], [2, 14]]","[[2, 17]]",3,,False,1,https://moonboard.com/Problems/View/367409/coge-una-cuchara-primero
367408,"[[6, 3]]","[[3, 5], [3, 8], [1, 11], [6, 13], [4, 15]]","[[10, 17]]",3,,False,1,https://moonboard.com/Problems/View/367408/feel-the-move
367392,"[[5, 4], [8, 3]]","[[7, 7], [7, 10], [4, 12], [4, 14]]","[[1, 17]]",1,,False,2,https://moonboard.com/Problems/View/367392/ratline
367356,"[[5, 4]]","[[4, 9], [6, 1], [6, 12], [3, 13], [8, 15]]","[[4, 17]]",1,,False,4,https://moonboard.com/Problems/View/367356/skip-it
367354,"[[10, 4]]","[[7, 9], [4, 12], [3, 10], [0, 13], [3, 16], [1, 7], [9, 6], [7, 8]]","[[3, 17]]",1,,False,3,https://moonboard.com/Problems/View/367354/%C3%B1am
367351,"[[3, 2], [2, 4]]","[[5, 6], [5, 8], [8, 10], [5, 12], [5, 13], [4, 15]]","[[7, 17]]",2,,False,6,https://moonboard.com/Problems/View/367351/quiche-and-crepes
367345,"[[7, 4]]","[[10, 8], [7, 11], [5, 12], [2, 12], [2, 7]]","[[3, 17]]",2,,False,1,https://moonboard.com/Problems/View/367345/state-of-emergency
367339,"[[5, 4], [6, 1]]","[[7, 9], [4, 12], [4, 14]]","[[4, 17]]",0,,False,7,https://moonboard.com/Problems/View/367339/spammy-trash
367328,"[[5, 4]]","[[2, 6], [3, 9], [2, 11], [3, 12], [2, 14]]","[[2, 17]]",0,,False,1,https://moonboard.com/Problems/View/367328/the-good-line
367317,"[[9, 4]]","[[8, 6], [4, 7], [5, 11], [2, 12], [7, 13]]","[[6, 17], [10, 17]]",2,,False,1,https://moonboard.com/Problems/View/367317/eat-the-rich
367316,"[[5, 4]]","[[6, 7], [4, 9], [6, 12], [8, 15]]","[[4, 17]]",0,,False,9,https://moonboard.com/Problems/View/367316/saturday-at-home
367315,"[[10, 4]]","[[9, 7], [4, 9], [6, 12], [4, 14]]","[[6, 17]]",0,,False,9,https://moonboard.com/Problems/View/367315/testooo
367313,"[[8, 4]]","[[10, 8], [6, 12]]","[[8, 17]]",1,,False,1,https://moonboard.com/Problems/View/367313/coltrane-changes
367312,"[[5, 4]]","[[4, 7], [1, 10], [6, 12], [6, 14], [8, 13]]","[[10, 17]]",1,,False,9,https://moonboard.com/Problems/View/367312/skipped-breakfast
367310,"[[8, 4]]","[[5, 8], [7, 8], [8, 11], [3, 12], [5, 14]]","[[2, 17]]",1,,False,2,https://moonboard.com/Problems/View/367310/almaak
367306,"[[1, 2], [0, 4]]","[[2, 9], [4, 9], [1, 14]]","[[1, 17]]",4,,False,1,https://moonboard.com/Problems/View/367306/dreaming-the-island
367302,"[[5, 4], [1, 2]]","[[2, 6], [4, 7], [2, 9], [4, 11], [2, 12], [4, 14], [1, 15], [3, 2]]","[[3, 17]]",0,,False,10,https://moonboard.com/Problems/View/367302/stik
367301,"[[2, 4], [0, 4]]","[[1, 7], [4, 9], [2, 12], [4, 14], [4, 15]]","[[6, 17]]",1,,False,9,https://moonboard.com/Problems/View/367301/kermit
367300,"[[1, 3], [2, 4]]","[[3, 7], [0, 8], [2, 12], [5, 9], [0, 15]]","[[3, 17]]",1,,False,2,https://moonboard.com/Problems/View/367300/terrence
367299,"[[1, 3], [4, 5]]","[[3, 8], [7, 9], [8, 14], [10, 6], [9, 12]]","[[10, 17]]",1,,False,2,https://moonboard.com/Problems/View/367299/don-t-kick-terrence
367298,"[[10, 4], [7, 4]]","[[10, 7], [7, 8], [7, 13], [4, 15], [9, 8], [5, 12]]","[[4, 17]]",1,,False,4,https://moonboard.com/Problems/View/367298/dangermouse
367296,"[[4, 5], [6, 1]]","[[8, 9], [5, 13]]","[[8, 17]]",2,,False,1,https://moonboard.com/Problems/View/367296/mandela-effect
367294,"[[5, 4]]","[[6, 9], [3, 11], [1, 15]]","[[4, 17]]",1,,False,1,https://moonboard.com/Problems/View/367294/matchate
367283,"[[5, 4], [10, 4]]","[[7, 9], [2, 9], [2, 12], [5, 13], [3, 16]]","[[3, 17]]",0,,False,5,https://moonboard.com/Problems/View/367283/lie-back-and-relax
367277,"[[0, 4], [3, 4]]","[[1, 7], [1, 8], [1, 10], [3, 13], [1, 15]]","[[1, 17]]",1,,False,3,https://moonboard.com/Problems/View/367277/straight-up-white
367276,"[[5, 4], [6, 1]]","[[9, 7], [8, 9], [7, 9], [7, 10], [6, 12], [4, 9], [4, 12], [4, 14], [6, 16]]","[[4, 17]]",0,,False,11,https://moonboard.com/Problems/View/367276/paradox-and-hyperbole
367275,"[[5, 4], [2, 4]]","[[4, 7], [7, 9], [4, 11], [4, 12], [1, 15]]","[[4, 17]]",0,,False,5,https://moonboard.com/Problems/View/367275/ecliptic-eccentricy
367274,"[[5, 4]]","[[4, 7], [0, 8], [0, 13], [4, 11], [3, 14]]","[[0, 17]]",0,,False,6,https://moonboard.com/Problems/View/367274/for-jenny
367271,"[[1, 2], [5, 4]]","[[4, 9], [8, 13]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/367271/mad-hatter
367269,"[[6, 1], [8, 5]]","[[6, 8], [4, 6], [7, 9], [6, 12], [8, 15]]","[[6, 17]]",0,,False,4,https://moonboard.com/Problems/View/367269/the-store
367267,"[[0, 4]]","[[2, 12], [5, 10], [1, 8], [0, 8]]","[[6, 17]]",3,,False,1,https://moonboard.com/Problems/View/367267/cracks
367266,"[[0, 4], [2, 4]]","[[1, 9], [2, 12], [6, 13], [4, 15]]","[[0, 17]]",4,,False,1,https://moonboard.com/Problems/View/367266/crack
367263,"[[10, 4], [8, 4]]","[[8, 9], [4, 9], [4, 12], [0, 13], [1, 7]]","[[3, 17]]",1,,False,2,https://moonboard.com/Problems/View/367263/hello-there-desert
367262,"[[7, 4]]","[[9, 7], [4, 10], [5, 14], [1, 15]]","[[2, 17]]",2,,False,1,https://moonboard.com/Problems/View/367262/things-fall-apart
367259,"[[5, 4], [1, 2]]","[[7, 8], [4, 14], [7, 10]]","[[3, 17]]",2,,False,1,https://moonboard.com/Problems/View/367259/refrigerator-game
367256,"[[3, 5]]","[[5, 8], [3, 9], [6, 12]]","[[4, 17]]",2,,False,1,https://moonboard.com/Problems/View/367256/war-paint
367254,"[[5, 4]]","[[1, 7], [1, 10], [0, 13], [3, 14]]","[[4, 17]]",1,,False,1,https://moonboard.com/Problems/View/367254/permafried
367246,"[[3, 2], [0, 4]]","[[0, 8], [1, 8], [3, 11], [2, 14]]","[[6, 17]]",1,,False,3,https://moonboard.com/Problems/View/367246/purchasing-a-cottage
367244,"[[9, 4]]","[[5, 6], [6, 9], [2, 12], [4, 15]]","[[0, 17]]",1,,False,3,https://moonboard.com/Problems/View/367244/focus-on-the-organs
367242,"[[8, 5], [6, 1]]","[[4, 7], [4, 8], [1, 10], [2, 13], [0, 15]]","[[2, 17]]",1,,False,1,https://moonboard.com/Problems/View/367242/lil-gitmo
367241,"[[1, 5], [3, 2]]","[[4, 7], [1, 9], [2, 12], [1, 14]]","[[1, 17]]",0,,False,2,https://moonboard.com/Problems/View/367241/speaking-moistly
367240,"[[5, 4], [3, 2]]","[[4, 7], [2, 9], [4, 12], [1, 15]]","[[1, 17]]",0,,False,1,https://moonboard.com/Problems/View/367240/grom-down-to-up
367238,"[[1, 2], [1, 5]]","[[1, 7], [1, 9], [4, 12], [4, 14]]","[[4, 17]]",0,,False,6,https://moonboard.com/Problems/View/367238/change-the-line
367235,"[[6, 1], [7, 4]]","[[2, 6], [7, 9], [2, 12], [4, 14], [5, 15]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/367235/1-wanna-stretch
367234,"[[6, 3]]","[[3, 6], [5, 6], [6, 9], [8, 10], [5, 13], [7, 14]]","[[4, 17]]",2,,False,1,https://moonboard.com/Problems/View/367234/come-in-go-again
367217,"[[10, 4]]","[[9, 7], [9, 8], [9, 12], [6, 14]]","[[10, 17]]",2,,False,2,https://moonboard.com/Problems/View/367217/db13
367210,"[[5, 4]]","[[5, 9], [2, 10], [4, 12], [4, 14]]","[[6, 17]]",0,,False,5,https://moonboard.com/Problems/View/367210/cakewalk-var-2
367209,"[[5, 4]]","[[5, 9], [4, 12], [2, 10], [5, 15]]","[[6, 17]]",1,,False,2,https://moonboard.com/Problems/View/367209/happiness
367207,"[[9, 4], [6, 3]]","[[4, 7], [6, 12], [4, 15], [6, 8]]","[[8, 17]]",0,,False,2,https://moonboard.com/Problems/View/367207/the-rona
367205,"[[4, 5], [7, 4]]","[[6, 8], [6, 13], [4, 15], [4, 11]]","[[8, 17]]",0,,False,4,https://moonboard.com/Problems/View/367205/black-to-blasics
367184,"[[4, 5], [7, 4]]","[[5, 9], [2, 11], [2, 13], [5, 14]]","[[3, 17]]",0,,False,1,https://moonboard.com/Problems/View/367184/la-carriola
367183,"[[7, 4], [10, 4]]","[[9, 7], [10, 8], [7, 10], [8, 13], [4, 14]]","[[4, 17]]",1,,False,14,https://moonboard.com/Problems/View/367183/fast-feeling
367182,"[[7, 4], [10, 4]]","[[9, 7], [10, 8], [7, 10], [9, 12], [5, 12], [8, 13], [4, 14]]","[[6, 17], [4, 17]]",0,,False,8,https://moonboard.com/Problems/View/367182/slow-feeling
367179,"[[1, 5], [7, 4]]","[[4, 8], [4, 10], [8, 13], [10, 7], [4, 15]]","[[7, 17]]",1,,False,1,https://moonboard.com/Problems/View/367179/ticky-tacky-tavi
367171,"[[5, 4]]","[[5, 10], [0, 8], [5, 13]]","[[6, 17]]",1,,False,1,https://moonboard.com/Problems/View/367171/gail
367159,"[[9, 4], [5, 4]]","[[7, 9], [8, 11], [4, 14], [7, 13]]","[[7, 17]]",1,,False,4,https://moonboard.com/Problems/View/367159/oldielocks1
367120,"[[5, 4]]","[[3, 11], [5, 13], [1, 7], [3, 8]]","[[6, 17]]",0,,False,5,https://moonboard.com/Problems/View/367120/discount-dstyle
367100,"[[7, 4], [3, 2]]","[[5, 7], [6, 9], [3, 12], [6, 14], [6, 15]]","[[8, 17]]",3,,False,1,https://moonboard.com/Problems/View/367100/arbor-day
367096,"[[8, 4], [9, 1]]","[[9, 6], [9, 7], [10, 10], [8, 12], [8, 13], [4, 15]]","[[6, 17], [4, 17]]",1,,False,1,https://moonboard.com/Problems/View/367096/shoulder-attack
367090,"[[9, 4], [3, 4]]","[[9, 9], [8, 8], [7, 11], [2, 12], [3, 14]]","[[0, 17]]",5,,False,1,https://moonboard.com/Problems/View/367090/shelflife
367089,"[[4, 5], [6, 3]]","[[7, 10], [6, 11], [8, 15]]","[[6, 17]]",2,,False,1,https://moonboard.com/Problems/View/367089/puppy-love
367088,"[[5, 4], [8, 4]]","[[6, 8], [4, 10], [6, 12], [2, 14], [6, 16]]","[[2, 17]]",0,,False,9,https://moonboard.com/Problems/View/367088/the-one-for-nini
367084,"[[5, 4]]","[[1, 7], [5, 9], [4, 9], [8, 12], [5, 13], [8, 15]]","[[4, 17]]",0,,False,10,https://moonboard.com/Problems/View/367084/corona-rungs
367083,"[[6, 3], [4, 5]]","[[6, 8], [1, 10], [4, 12], [1, 15]]","[[4, 17]]",0,,False,7,https://moonboard.com/Problems/View/367083/no-lungs
367079,"[[10, 4]]","[[3, 4], [9, 7], [5, 6], [4, 9], [8, 8], [5, 12], [6, 14], [10, 13]]","[[6, 17]]",1,,False,5,https://moonboard.com/Problems/View/367079/elastoplast
367078,"[[5, 4], [8, 3]]","[[6, 8], [5, 10], [2, 12], [8, 13], [5, 13]]","[[8, 17]]",1,,False,6,https://moonboard.com/Problems/View/367078/run-or-walk
367077,"[[6, 1], [5, 4]]","[[3, 8], [5, 9], [5, 13]]","[[6, 17]]",1,,False,7,https://moonboard.com/Problems/View/367077/flaten-the-curve
367076,"[[10, 4]]","[[9, 7], [4, 9], [6, 12]]","[[4, 17]]",1,,False,2,https://moonboard.com/Problems/View/367076/white-curve
367075,"[[7, 4]]","[[3, 2], [6, 13], [4, 14], [4, 9], [5, 5], [6, 6]]","[[3, 17], [7, 17]]",1,,False,1,https://moonboard.com/Problems/View/367075/ns-hi-2020
367072,"[[9, 4]]","[[6, 7], [5, 10], [3, 11], [3, 14]]","[[0, 17]]",1,,False,4,https://moonboard.com/Problems/View/367072/penitent-path
367070,"[[1, 2], [5, 4]]","[[4, 7], [2, 9], [5, 10], [1, 12], [6, 12], [4, 14]]","[[4, 17]]",0,,False,13,https://moonboard.com/Problems/View/367070/covid-4
367069,"[[5, 4]]","[[4, 7], [7, 10], [2, 12], [7, 13], [5, 13]]","[[6, 17]]",0,,False,7,https://moonboard.com/Problems/View/367069/242-panda-4x4-2
367068,"[[5, 4]]","[[9, 7], [6, 7], [7, 10], [3, 11], [3, 14], [1, 15]]","[[6, 17]]",0,,False,3,https://moonboard.com/Problems/View/367068/242-galactic-4x4
367059,"[[5, 4]]","[[4, 7], [7, 9], [5, 13], [4, 14], [1, 15]]","[[3, 17]]",0,,False,15,https://moonboard.com/Problems/View/367059/sunny-monday
